BULAN;TAHUN;PPH;PPN;PPHOP;PPHBDN
5;2020;22/06/2020;30/06/2020;;
6;2020;20/07/2020;03/08/2020;;
7;2020;21/08/2020;31/08/2020;;
8;2020;21/09/2020;30/09/2020;;
9;2020;20/10/2020;02/11/2020;;
10;2020;20/11/2020;30/11/2020;;
11;2020;21/12/2020;04/01/2021;;
12;2020;20/01/2021;01/02/2021;;
0;2021;;;31/03/2022;30/04/2022
1;2021;22/02/2021;01/03/2021;;
2;2021;22/03/2021;31/03/2021;;
3;2021;20/04/2021;30/04/2021;;
4;2021;20/05/2021;31/05/2021;;
5;2021;21/06/2021;30/06/2021;;
6;2021;21/07/2021;02/08/2021;;
7;2021;20/08/2021;31/08/2021;;
8;2021;20/09/2021;30/09/2021;;
9;2021;20/10/2021;01/11/2021;;
10;2021;22/11/2021;30/11/2021;;
11;2021;20/12/2021;03/01/2022;;
12;2021;20/01/2022;31/01/2022;;
