KODE;NAMA;SEKTOR
10130;INDUSTRI PENGOLAHAN DAN PENGAWETAN PRODUK DAGING DAN DAGING UNGGAS;C
10211;INDUSTRI PENGGARAMAN/PENGERINGAN IKAN;C
10212;INDUSTRI PENGASAPAN/PEMANGGANGAN IKAN;C
10213;INDUSTRI PEMBEKUAN IKAN;C
10214;INDUSTRI PEMINDANGAN IKAN;C
10215;INDUSTRI PERAGIAN/FERMENTASI IKAN;C
10216;INDUSTRI BERBASIS DAGING LUMATAN DAN SURIMI;C
10217;INDUSTRI PENDINGINAN/PENGESAN IKAN;C
10219;INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA UNTUK IKAN;C
10221;INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN BIOTA AIR (BUKAN UDANG) DALAM KALENG;C
10222;INDUSTRI PENGOLAHAN DAN PENGAWETAN UDANG DALAM KALENG;C
10291;INDUSTRI PENGGARAMAN/PENGERINGAN BIOTA AIR LAINNYA;C
10292;INDUSTRI PENGASAPAN/PEMANGGANGAN BIOTA AIR LAINNYA;C
10293;INDUSTRI PEMBEKUAN BIOTA AIR LAINNYA;C
10294;INDUSTRI PEMINDANGAN BIOTA AIR LAINNYA;C
10295;INDUSTRI PERAGIAN/FERMENTASI BIOTA AIR LAINNYA;C
10296;INDUSTRI BERBASIS LUMATAN BIOTA AIR LAINNYA;C
10297;INDUSTRI PENDINGINAN/PENGESAN BIOTA AIR LAINNYA;C
10299;INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA UNTUK BIOTA AIR LAINNYA;C
10311;INDUSTRI PENGASINAN/PEMANISAN BUAH-BUAHAN DAN SAYURAN;C
10312;INDUSTRI PELUMATAN BUAH-BUAHAN DAN SAYURAN;C
10313;INDUSTRI PENGERINGAN BUAH-BUAHAN DAN SAYURAN;C
10314;INDUSTRI PEMBEKUAN BUAH-BUAHAN DAN SAYURAN;C
10320;INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN DALAM KALENG;C
10330;INDUSTRI PENGOLAHAN SARI BUAH DAN SAYURAN;C
10391;INDUSTRI TEMPE KEDELAI;C
10392;INDUSTRI TAHU KEDELAI;C
10399;INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA BUAH- BUAHAN DAN SAYURAN;C
10411;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI;C
10412;INDUSTRI MARGARINE;C
10413;INDUSTRI MINYAK MAKAN DAN LEMAK HEWANI SELAIN IKAN;C
10414;INDUSTRI MINYAK IKAN;C
10415;INDUSTRI MINYAK GORENG BUKAN MINYAK KELAPA DAN MINYAK KELAPA SAWIT;C
10421;INDUSTRI KOPRA;C
10422;INDUSTRI MINYAK MAKAN KELAPA;C
10423;INDUSTRI MINYAK GORENG KELAPA;C
10424;INDUSTRI TEPUNG DAN PELET KELAPA;C
10431;INDUSTRI MINYAK MAKAN KELAPAN SAWIT (CRIUDE PALM OIL);C
10432;INDUSTRI MINYAK GORENG KELAPA SAWIT;C
10490;INDUSTRI MINYAK MAKAN DAN LEMAK NABATI DAN HEWANI LAINNYA;C
10510;INDUSTRI PENGOLAHAN SUSU SEGAR DAN KRIM;C
10520;INDUSTRI PENGOLAHAN SUSU BUBUK DAN SUSU KENTAL;C
10531;INDUSTRI PENGOLAHAN ES KRIM;C
10532;INDUSTRI PENGOLAHAN ES SEJENISNYA YANG DAPAT DIMAKAN (BUKAN ES BATU DAN ES BALOK);C
10590;INDUSTRI PENGOLAHAN PRODUK DARI SUSU LAINNYA;C
10611;INDUSTRI PENGGILINGAN DAN PEMBERSIHAN PADI-PADIAN DAN BIJI-BIJIAN;C
10612;INDUSTRI PENGUPASAN, PEMBERSIHAN DAN SORTASI KOPI;C
10613;INDUSTRI PENGUPASAN, PEMBERSIHAN DAN PENGERINGAN KAKAO;C
10614;INDUSTRI PENGUPASAN DAN PEMBERSIHAN BIJI-BIJIAN BUKAN KOPI DAN KAKAO;C
10615;INDUSTRI PENGUPASAN DAN PEMBERSIHAN KACANG- KACANGAN;C
10616;INDUSTRI PENGUPASAN DAN PEMBERSIHAN UMBI-UMBIAN (TERMASUK RIZOMA);C
10617;INDUSTRI TEPUNG TERIGU;C
10618;INDUSTRI BERBAGAI MACAM TEPUNG DARI PADI-PADIAN, BIJI-BIJIAN, KACANG-KACANGAN,;C
10621;INDUSTRI PATI UBI KAYU;C
10622;INDUSTRI BERBAGAI MACAM PATI PALMA;C
10623;INDUSTRI GLUKOSA DAN SEJENISNYA;C
10629;INDUSTRI PATI LAINNYA;C
10631;INDUSTRI PENGGILINGAN PADI DAN PENYOSOHAN BERAS;C
10632;INDUSTRI PENGGILINGAN DAN PEMBERSIHAN JAGUNG;C
10633;INDUSTRI TEPUNG BERAS DAN TEPUNG JAGUNG;C
10634;INDUSTRI PATI BERAS DAN JAGUNG;C
10710;INDUSTRI PRODUK ROTI DAN KUE;C
10721;INDUSTRI GULA PASIR;C
10722;INDUSTRI GULA MERAH;C
10723;INDUSTRI SIROP;C
10729;INDUSTRI PENGOLAHAN GULA LAINNYA BUKAN SIROP;C
10731;INDUSTRI KAKAO;C
10732;INDUSTRI MAKANAN DARI COKELAT DAN KEMBANG GULA;C
10733;INDUSTRI MANISAN BUAH-BUAHAN DAN SAYURAN KERING;C
10739;INDUSTRI KEMBANG GULA LAINNYA;C
10740;INDUSTRI MAKARONI, MIE DAN PRODUK SEJENISNYA;C
10750;INDUSTRI MAKANAN DAN MASAKAN OLAHAN;C
10761;INDUSTRI PENGOLAHAN KOPI DAN TEH;C
10762;INDUSTRI PENGOLAHAN HERBAL (HERB INFUSION);C
10771;INDUSTRI KECAP;C
10772;INDUSTRI BUMBU MASAK DAN PENYEDAP MASAKAN;C
10773;INDUSTRI PRODUK MASAK DARI KELAPA;C
10774;INDUSTRI PENGOLAHAN GARAM;C
10779;INDUSTRI PRODUK MASAK LAINNYA;C
10791;INDUSTRI MAKANAN BAYI;C
10792;INDUSTRI KUE BASAH;C
10793;INDUSTRI MAKANAN DARI KEDELE DAN KACANG-KACANGAN LAINNYA BUKAN KECAP, TEMPE DAN TAHU;C
10794;INDUSTRI KERUPUK, KERIPIK, PEYEK DAN SEJENISNYA;C
10799;INDUSTRI PRODUK MAKANAN LAINNYA;C
10801;INDUSTRI RANSUM MAKANAN HEWAN;C
10802;INDUSTRI KONSENTRAT MAKANAN HEWAN;C
11010;INDUSTRI MINUMAN KERAS;C
11020;INDUSTRI MINUMAN ANGGUR (WINE);C
11030;INDUSTRI MINUMAN KERAS DARI MALT DAN MALT;C
11040;INDUSTRI MINUMAN RINGAN;C
11050;INDUSTRI AIR MINUM DAN AIR MINERAL;C
11090;INDUSTRI MINUMAN LAINNYA;C
12011;INDUSTRI ROKOK KRETEK;C
12012;INDUSTRI ROKOK PUTIH;C
12019;INDUSTRI ROKOK DAN CERUTU LAINNYA;C
12091;INDUSTRI PENGERINGAN DAN PENGOLAHAN TEMBAKAU;C
12099;INDUSTRI BUMBU ROKOK SERTA KELENGKAPAN ROKOK LAINNYA;C
13111;INDUSTRI PERSIAPAN SERAT TEKSTIL;C
13112;INDUSTRI PEMINTALAN BENANG;C
13113;INDUSTRI PEMINTALAN BENANG JAHIT;C
